plyer_name,year,season_name,wk,game_date,opp,g,gs,urk
Rick Aigo,1973,Regular Season,12,12/02,SF,0,--,http://www.nfl.com/player/rickarrington/2508672/gamelogs
Rick Aigo,1973,Regular Season,13,12/09,NYJ,0,--,http://www.nfl.com/player/rickarrington/2508672/gamelogs
Rick Aigo,1973,Regular Season,14,12/16,WAS,0,--,http://www.nfl.com/player/rickarrington/2508672/gamelogs
LaVa Aigo,2006,Preseason,1,08/11,BAL,1,0,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,2,08/17,KC,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,3,08/25,NYJ,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,4,08/31,NE,0,0,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,1,09/10,IND,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,2,09/17,PHI,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,3,09/24,SEA,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,4,Bye,,--,--,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,5,10/08,WAS,1,0,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,6,10/15,ATL,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,7,10/23,DAL,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,1,08/11,BAL,1,0,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,2,08/17,KC,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,3,08/25,NYJ,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,4,08/31,NE,0,0,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,1,09/10,IND,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,2,09/17,PHI,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,3,09/24,SEA,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,4,Bye,,--,--,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,5,10/08,WAS,1,0,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,6,10/15,ATL,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
LaVa Aigo,2006,Preseason,7,10/23,DAL,1,1,http://www.nfl.com/player/lavararrington/2504297/gamelogs
Kyle Aigo,2016,Preseason,1,08/11,CAR,1,0,http://www.nfl.com/player/kylearrington/2507430/gamelogs
Kyle Aigo,2016,Preseason,2,08/20,IND,0,0,http://www.nfl.com/player/kylearrington/2507430/gamelogs
Kyle Aigo,2016,Preseason,3,08/27,DET,0,0,http://www.nfl.com/player/kylearrington/2507430/gamelogs
J.J. Aigo,2010,Preseason,1,08/13,JAC,0,0,http://www.nfl.com/player/j.j.arrington/2506383/gamelogs
J.J. Aigo,2010,Preseason,2,08/20,CIN,1,0,http://www.nfl.com/player/j.j.arrington/2506383/gamelogs
J.J. Aigo,2010,Preseason,3,08/27,KC,1,0,http://www.nfl.com/player/j.j.arrington/2506383/gamelogs
J.J. Aigo,2010,Preseason,4,09/02,NYJ,1,0,http://www.nfl.com/player/j.j.arrington/2506383/gamelogs
Adia Aigo,2012,Preseason,0,08/05,ARI,0,0,http://www.nfl.com/player/adrianarrington/1058/gamelogs
Adia Aigo,2012,Preseason,1,08/09,NE,0,0,http://www.nfl.com/player/adrianarrington/1058/gamelogs
Adia Aigo,2012,Preseason,2,08/17,JAC,0,0,http://www.nfl.com/player/adrianarrington/1058/gamelogs
Adia Aigo,2012,Preseason,3,08/25,HOU,0,0,http://www.nfl.com/player/adrianarrington/1058/gamelogs
Adia Aigo,2012,Preseason,4,08/30,TEN,0,0,http://www.nfl.com/player/adrianarrington/1058/gamelogs
Joh Ap,1987,Regular Season,3,10/04,PHI,1,--,http://www.nfl.com/player/johnarp/2508669/gamelogs
Joh Ap,1987,Regular Season,4,10/11,MIN,1,--,http://www.nfl.com/player/johnarp/2508669/gamelogs
Joh Ap,1987,Regular Season,5,10/18,NO,0,--,http://www.nfl.com/player/johnarp/2508669/gamelogs
Doova Ap,2001,Regular Season,4,10/07,NYG,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,5,10/15,DAL,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,6,10/21,CAR,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,7,10/28,NYG,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,8,11/04,SEA,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Devi Aomashodu,2013,Preseason,1,08/09,CAR,1,0,http://www.nfl.com/player/devinaromashodu/2495800/gamelogs
Devi Aomashodu,2013,Preseason,2,08/15,SD,1,0,http://www.nfl.com/player/devinaromashodu/2495800/gamelogs
Doova Ap,2001,Regular Season,9,Bye,,--,--,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,10,11/18,DEN,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,11,11/25,PHI,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,12,12/02,DAL,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,13,12/09,ARI,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,14,12/16,PHI,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,15,12/23,CHI,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,16,12/30,NO,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doova Ap,2001,Regular Season,17,01/06,ARI,0,0,http://www.nfl.com/player/donovanarp/2504422/gamelogs
Doug Aoso,1987,Regular Season,9,11/15,ATL,0,--,http://www.nfl.com/player/dougaronson/2508668/gamelogs
Doug Aoso,1987,Regular Season,10,11/22,PIT,1,--,http://www.nfl.com/player/dougaronson/2508668/gamelogs
Doug Aoso,1987,Regular Season,11,11/29,NYJ,0,--,http://www.nfl.com/player/dougaronson/2508668/gamelogs
Doug Aoso,1987,Regular Season,12,12/06,KC,1,--,http://www.nfl.com/player/dougaronson/2508668/gamelogs
Wal Aold,1987,Regular Season,1,09/13,SD,1,--,http://www.nfl.com/player/waltarnold/2508666/gamelogs
Wal Aold,1987,Regular Season,2,09/20,SEA,1,--,http://www.nfl.com/player/waltarnold/2508666/gamelogs
Wal Aold,1987,Regular Season,6,10/25,SD,1,--,http://www.nfl.com/player/waltarnold/2508666/gamelogs
Wal Aold,1987,Regular Season,7,11/01,CHI,1,--,http://www.nfl.com/player/waltarnold/2508666/gamelogs
Wal Aold,1987,Regular Season,8,11/08,PIT,1,--,http://www.nfl.com/player/waltarnold/2508666/gamelogs
LeFacis Aold,1974,Regular Season,1,09/15,LA,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,2,09/22,PIT,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,3,09/30,WAS,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,4,10/06,KC,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,5,10/13,NO,1,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,6,10/20,SD,1,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,7,10/27,CLE,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,8,11/03,OAK,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,9,11/10,BAL,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,10,11/18,KC,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,11,11/24,OAK,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,12,11/28,DET,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,13,12/08,HOU,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
LeFacis Aold,1974,Regular Season,14,12/15,SD,0,--,http://www.nfl.com/player/lefrancisarnold/2508664/gamelogs
Saley Aoux,2010,Preseason,1,08/12,NE,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,2,08/21,HOU,0,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,3,08/27,SD,0,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,4,09/02,TEN,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,1,09/09,MIN,0,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,2,09/20,SF,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,3,09/26,ATL,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,4,10/03,CAR,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,5,10/10,ARI,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,6,10/17,TB,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,7,10/24,CLE,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,8,10/31,PIT,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,9,11/07,CAR,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,10,Bye,,--,--,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,11,11/21,SEA,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,1,08/12,NE,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,2,08/21,HOU,0,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,3,08/27,SD,0,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,4,09/02,TEN,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,1,09/09,MIN,0,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,2,09/20,SF,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,3,09/26,ATL,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,4,10/03,CAR,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
Saley Aoux,2010,Preseason,5,10/10,ARI,1,0,http://www.nfl.com/player/stanleyarnoux/79838/gamelogs
